tournament_id,match_id,created_at,map_name,duration,winner,telemetry
as-pcs3kr,28e1cf35-8447-42f9-b9ad-c655292ef310,2020-09-26 11:42:20,Miramar,1885,EM,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/26/12/15/fede917b-fff1-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,8d8ebd8c-3290-45f5-a037-51d4fa7c052c,2020-09-25 11:55:27,Miramar,1738,VLG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/25/12/26/52aa5f51-ff2a-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,843aedf7-e029-4a6b-b9c3-f0bfafbfc0cd,2020-10-10 10:37:31,Erangel (Remastered),1790,GEN,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/10/11/09/0a3c622e-0ae9-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,06728817-d1c2-4210-a291-2fab8f596600,2020-10-10 09:48:42,Miramar,1839,emT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/10/10/21/55af4fe2-0ae2-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,a9d5ca61-38c6-46a2-bd38-651c45c658bc,2020-10-09 11:17:11,Erangel (Remastered),1848,KP,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/09/11/49/8c9d0eb6-0a25-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,f1a7b31a-d7a6-45bc-b723-5f0de4ce892c,2020-09-25 09:41:44,Erangel (Remastered),1782,QDR,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/25/10/13/be17e453-ff17-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,b1f22a57-a5c3-430b-89df-de950ad1f04e,2020-09-19 10:27:38,Erangel (Remastered),1848,VSG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/19/11/00/50150b73-fa67-11ea-96f9-ae2007969334-telemetry.json
as-pcs3as,07862b93-b175-4a9c-94de-a5460bd2de0a,2020-11-13 11:46:01,Miramar,1827,Tian,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/13/12/18/53a1934e-25aa-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,d7a09b0b-3fa5-42b2-93de-c31c66f2ff30,2020-11-13 10:06:35,Erangel (Remastered),1653,PeRo,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/13/10/36/07f52b8d-259c-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,c17ca543-ef34-439c-8e79-bd3ead9075d5,2020-11-12 12:33:33,Miramar,1720,PeRo,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/12/13/04/8e0a584a-24e7-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,437d5fba-980f-46f0-90e8-9f7403fdb81c,2020-11-06 10:55:35,Miramar,1606,4AM,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/06/11/24/9c52655b-2022-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,023385f7-a73c-4cac-b86e-f550faf0c2ce,2020-11-05 11:12:43,Miramar,1724,VLG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/05/11/43/1dabddf9-1f5c-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,cdd38265-eb11-437e-88d9-4866fee30d28,2020-11-20 11:54:37,Erangel (Remastered),1728,OPGG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/20/12/25/754e576b-2b2b-11eb-84f5-5ef0040d7e08-telemetry.json
as-pcs3as,213a2205-d362-4c61-8457-f80d7cfb8768,2020-11-20 11:02:33,Miramar,1830,MCG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/20/11/35/6ccc2347-2b24-11eb-84f5-5ef0040d7e08-telemetry.json
as-pcs3as,67c28a37-d518-483e-8052-81d87cb3925f,2020-11-19 10:10:04,Miramar,1630,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/19/10/39/75d27f44-2a53-11eb-bd08-6ea9d0b0cc56-telemetry.json
as-pcs3as,d1532d6a-618b-49d1-b680-6535d82795c4,2020-11-05 10:23:44,Miramar,1791,Tian,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/05/10/55/6c4e9acd-1f55-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,90a6d5ce-168e-4169-9ba6-680c3692f6f5,2020-11-06 11:41:20,Erangel (Remastered),1528,4AM,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/06/12/08/d1511a47-2028-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,1e52d9c6-4154-46bb-8523-ac7baeee2b66,2020-11-20 12:44:28,Erangel (Remastered),1849,AF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/20/13/17/b465cefb-2b32-11eb-84f5-5ef0040d7e08-telemetry.json
as-pcs3as,e33b985e-1b52-4c87-8220-fb67562188ab,2020-11-13 10:53:23,Erangel (Remastered),1766,PeRo,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/13/11/24/d580df4b-25a2-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,9053a89d-d488-40a6-af45-7215860bcacc,2020-11-12 10:57:43,Erangel (Remastered),1715,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/12/11/28/278e0642-24da-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,4a007b2f-7070-4f1f-9956-dfd17e6877ec,2020-11-06 10:06:39,Miramar,1772,Tian,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/06/10/38/29378f6e-201c-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,4b2a265a-594e-40ae-8e1e-0e5e983e637f,2020-11-05 12:49:20,Erangel (Remastered),1708,AF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/05/13/19/9214e6e6-1f69-11eb-a33f-1633654a5b70-telemetry.json
as-pcs3as,5cdbf34a-3d89-426f-a681-70cf169d333c,2020-11-19 12:30:12,Erangel (Remastered),1747,K7,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/11/19/13/01/4fbcfa06-2a67-11eb-bd08-6ea9d0b0cc56-telemetry.json
